CRIM,ZN,INDUS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
-5.064036070823371,2.9444389791664403,2.31,0.538,6.575,65.2,1.4085449700547104,0.0,296,15.3,396.9,4.98,3.1780538303479458
-3.6005023434965233,0.0,7.07,0.469,6.421,78.9,1.602836168799538,0.6931471805599453,242,17.8,396.9,9.14,3.0726933146901194
-3.60123494426189,0.0,7.07,0.469,7.185,61.1,1.602836168799538,0.6931471805599453,242,17.8,392.83,4.03,3.5467396869528134
-3.430523211043984,0.0,2.18,0.458,6.998,45.8,1.802072770503119,1.0986122886681098,222,18.7,394.63,2.94,3.5085558999826545
-2.672924399126836,0.0,2.18,0.458,7.147,54.2,1.802072770503119,1.0986122886681098,222,18.7,396.9,,3.5890591188317256
-3.511570439143526,0.0,2.18,0.458,6.43,58.7,1.802072770503119,1.0986122886681098,222,18.7,394.12,5.21,3.3568971227655755
-2.427128428068646,2.6026896854443837,7.87,0.524,6.012,66.6,1.7156880322767596,1.6094379124341003,311,15.2,395.6,12.43,3.131136910560194
-1.934129810519782,2.6026896854443837,7.87,0.524,6.172,96.1,1.7834752496403574,1.6094379124341003,311,15.2,396.9,19.15,3.299533727885655
-1.5547603511434045,2.6026896854443837,7.87,0.524,5.631,100.0,1.805350031079887,1.6094379124341003,311,15.2,386.63,29.93,2.803360380906535
-1.7717215754915476,2.6026896854443837,7.87,0.524,6.004,85.9,1.8858719623950215,1.6094379124341003,311,15.2,386.71,17.1,2.9391619220655967
-1.492143885211743,2.6026896854443837,7.87,0.524,6.377,94.3,1.8479349927821578,1.6094379124341003,311,15.2,392.52,20.45,2.70805020110221
-2.1415722971463422,2.6026896854443837,7.87,0.524,6.009,82.9,1.8288464974373158,1.6094379124341003,311,15.2,396.9,13.27,2.9391619220655967
-2.3668036653206967,2.6026896854443837,7.87,0.524,5.889,39.0,1.6957807326561167,1.6094379124341003,311,15.2,390.5,15.71,3.077312260546414
-0.46241648455830314,0.0,8.14,0.538,5.949,61.8,1.5491569815491704,1.3862943611198906,307,21.0,396.9,8.26,3.0155349008501706
-0.44947969352758377,0.0,8.14,0.538,6.096,84.5,1.4955746842845248,1.3862943611198906,307,21.0,380.02,10.26,2.9014215940827497
-0.4661869221476103,0.0,8.14,0.538,5.834,56.5,1.5037662372600613,1.3862943611198906,307,21.0,395.62,8.47,2.990719731730447
0.05252603425144661,0.0,8.14,0.538,5.935,29.3,1.5037662372600613,1.3862943611198906,307,21.0,386.85,6.58,3.139832617527748
-0.2430911891239058,0.0,8.14,0.538,5.99,81.7,1.4487760809911847,1.3862943611198906,307,21.0,386.75,14.67,2.8622008809294686
-0.2197617759678016,0.0,8.14,0.538,5.456,36.6,1.3340795896711515,1.3862943611198906,307,21.0,288.99,11.69,3.005682604407159
-0.3204807842031671,0.0,8.14,0.538,5.727,69.5,1.3340795896711515,1.3862943611198906,307,21.0,390.95,11.28,2.9014215940827497
0.22457452697999086,0.0,8.14,0.538,5.57,98.1,1.3344482823962802,1.3862943611198906,307,21.0,376.57,21.02,2.6100697927420065
-0.1601218048980534,0.0,8.14,0.538,5.965,89.2,1.3893646429771087,1.3862943611198906,307,21.0,392.53,13.83,2.975529566236472
0.20902028586767565,0.0,8.14,0.538,6.142,91.7,1.3805026213280807,1.3862943611198906,307,21.0,396.9,18.72,2.7212954278522306
-0.011637453244120754,0.0,8.14,0.538,5.813,100.0,1.4098155561612364,1.3862943611198906,307,21.0,394.54,19.88,2.6741486494265287
-0.2873354658601195,0.0,8.14,0.538,5.924,94.1,1.4815136277008245,1.3862943611198906,307,21.0,394.33,16.3,2.747270914255491
-0.17371073654605956,0.0,8.14,0.538,5.599,85.7,1.4939372701352471,1.3862943611198906,307,21.0,303.42,16.51,2.631888840136646
-0.397630875999648,0.0,8.14,0.538,5.813,90.3,1.5437253690687192,1.3862943611198906,307,21.0,376.88,14.81,2.8094026953624978
-0.04523798065019433,0.0,8.14,0.538,6.047,88.8,1.49366784938822,1.3862943611198906,307,21.0,306.38,17.28,2.6946271807700692
-0.2574891670890018,0.0,8.14,0.538,6.495,94.4,1.4939597185879885,1.3862943611198906,307,21.0,387.94,12.8,2.91235066461494
0.002447003643051847,0.0,8.14,0.538,6.674,87.3,1.4443273923705,1.3862943611198906,307,21.0,380.23,11.98,3.044522437723423
0.12293419009497764,0.0,8.14,0.538,5.713,94.1,1.4429109615387865,1.3862943611198906,307,21.0,360.17,22.6,2.5416019934645457
0.30359479091182995,0.0,8.14,0.538,6.072,100.0,1.4291143583028187,1.3862943611198906,307,21.0,376.73,13.04,2.6741486494265287
0.3278566574477085,0.0,8.14,0.538,5.95,82.0,1.3837912309017721,1.3862943611198906,307,21.0,232.6,27.71,2.580216829592325
0.14125647717535533,0.0,8.14,0.538,5.701,95.0,1.3316269597775825,1.3862943611198906,307,21.0,358.77,18.35,2.5726122302071057
0.477984199611674,0.0,8.14,0.538,6.096,96.9,1.324365764497724,1.3862943611198906,307,21.0,248.31,20.34,2.6026896854443837
-2.746219467219713,0.0,5.96,0.499,5.933,68.2,1.2120302557036664,1.6094379124341003,279,19.2,396.9,,2.9391619220655967
-2.3285184750205503,0.0,,0.499,5.841,61.4,1.2172542146318501,1.6094379124341003,279,19.2,377.56,11.41,2.995732273553991
-2.5239801737741385,0.0,5.96,0.499,5.85,41.5,1.3697075575154918,1.6094379124341003,279,19.2,396.9,8.77,3.044522437723423
-1.7426836315814622,0.0,5.96,0.499,5.966,30.2,1.3473716035734287,1.6094379124341003,279,19.2,393.43,10.13,3.2068032436339315
-3.5888531400468118,4.330733340286331,2.95,0.428,6.595,21.8,1.68660263652915,1.0986122886681098,252,18.3,395.63,4.32,3.427514689979529
-3.3935268753579355,4.330733340286331,2.95,0.428,7.024,15.8,1.68660263652915,1.0986122886681098,252,18.3,395.62,1.98,3.5524868292083815
-2.060109613380344,0.0,6.91,0.448,6.77,2.9,1.7441261356719917,1.0986122886681098,233,17.9,385.41,4.84,3.2809112157876537
-1.9554555618988447,0.0,6.91,0.448,6.169,6.6,1.7441261356719917,1.0986122886681098,233,17.9,383.37,5.81,3.2308043957334744
-1.8365894851458489,0.0,6.91,0.448,6.211,6.5,1.7441261356719917,1.0986122886681098,233,17.9,394.46,7.44,3.2068032436339315
-2.098094430179046,0.0,6.91,0.448,6.069,40.0,1.7441261356719917,1.0986122886681098,233,17.9,389.39,9.55,3.054001181677967
-1.7636385935114005,0.0,6.91,0.448,5.682,33.8,1.6293189680272497,1.0986122886681098,233,17.9,396.9,10.21,2.9601050959108397
-1.6694002536067831,0.0,6.91,0.448,5.786,33.3,1.6293189680272497,1.0986122886681098,233,17.9,396.9,14.15,2.995732273553991
-1.4728549306475662,0.0,,0.448,6.03,85.5,1.7386047944235348,1.0986122886681098,233,17.9,392.74,18.8,2.8094026953624978
-1.3709329540071915,0.0,6.91,0.448,5.399,95.3,1.7698546338400052,1.0986122886681098,233,17.9,396.9,30.81,2.667228206581955
-1.5151737340440177,0.0,6.91,0.448,5.602,62.0,1.806270342078466,1.0986122886681098,233,17.9,396.9,16.2,2.9652730660692823
-2.4221572281348904,3.091042453358316,5.64,0.439,5.963,45.7,1.9190820436366434,1.3862943611198906,243,16.8,395.56,13.45,2.9806186357439426
-3.137987321134862,3.091042453358316,,0.439,6.115,63.0,1.9190820436366434,1.3862943611198906,243,16.8,393.97,9.43,3.0204248861443626
-2.926206210905381,3.091042453358316,5.64,0.439,6.511,21.1,1.9190820436366434,1.3862943611198906,243,16.8,396.9,5.28,3.2188758248682006
,3.091042453358316,5.64,0.439,5.998,21.4,1.9190820436366434,1.3862943611198906,243,16.8,396.9,8.43,3.152736022363656
-4.29768548624013,4.330733340286331,4.0,0.41,5.888,47.6,1.990569343526812,1.0986122886681098,469,21.1,396.9,14.8,2.9391619220655967
-4.334379981206529,4.51085950651685,1.22,0.403,7.249,21.9,2.162932144678819,1.6094379124341003,226,17.9,395.93,4.81,3.5667118201397288
-3.8848943380398935,4.454347296253507,0.74,0.41,6.383,35.7,2.2178547488334623,0.6931471805599453,313,17.3,396.9,5.77,3.2068032436339315
-4.2460981174496375,4.61512051684126,1.32,0.411,6.816,40.5,2.119239011553902,1.6094379124341003,256,15.1,392.9,3.95,3.4531571205928664
-1.8678848596175464,3.258096538021482,5.13,0.453,6.145,29.2,2.0560193717353434,2.0794415416798357,284,19.7,390.68,6.86,3.1484533605716547
-2.27031153244375,3.258096538021482,5.13,0.453,5.927,47.2,1.9361483718533596,2.0794415416798357,284,19.7,396.9,9.22,2.975529566236472
-1.901663624935754,3.258096538021482,5.13,0.453,5.741,66.2,1.977602595787803,2.0794415416798357,284,19.7,395.11,13.15,2.928523523860541
-1.7619482716564259,3.258096538021482,5.13,0.453,5.966,93.4,1.9196395063157516,2.0794415416798357,284,19.7,378.08,14.44,2.772588722239781
-2.20482337521155,3.258096538021482,5.13,0.453,6.456,67.8,1.9776164357562482,2.0794415416798357,284,19.7,396.9,6.73,3.100092288878234
-2.0675129708145623,3.258096538021482,5.13,0.453,6.762,43.4,2.077051187057198,2.0794415416798357,284,19.7,395.58,9.5,3.2188758248682006
-3.9368281243471173,2.917770732084279,1.38,0.4161,7.104,59.5,2.221689521735732,1.0986122886681098,216,18.6,393.24,8.05,3.4965075614664802
-3.3286906908754075,4.394449154672439,3.37,0.398,6.29,17.8,1.8888105570147407,1.3862943611198906,337,16.1,396.9,4.67,3.1570004211501135
-3.12834979816883,4.394449154672439,3.37,0.398,5.787,31.1,1.8888105570147407,1.3862943611198906,337,16.1,396.9,10.24,2.9652730660692823
-2.849210620891224,2.6026896854443837,6.07,0.409,5.878,21.4,1.8714944372469087,1.3862943611198906,345,18.9,396.21,8.1,3.091042453358316
-1.9984884792741702,2.6026896854443837,6.07,0.409,5.594,36.8,1.8714944372469087,1.3862943611198906,345,18.9,396.9,13.09,2.856470206220483
-2.054475795662088,2.6026896854443837,6.07,0.409,5.885,33.0,1.8714944372469087,1.3862943611198906,345,18.9,396.9,8.79,3.039749158970765
-2.4274682751407357,0.0,10.81,0.413,6.417,6.6,1.665307718597909,1.3862943611198906,305,19.2,383.73,6.72,3.186352633162641
-1.8403616510672725,0.0,10.81,0.413,5.961,17.5,1.665307718597909,1.3862943611198906,305,19.2,376.94,9.88,3.077312260546414
-2.389887421396842,0.0,10.81,0.413,6.065,7.8,1.665307718597909,1.3862943611198906,305,19.2,390.91,5.52,3.126760535960395
-1.632757717755717,0.0,10.81,0.413,6.245,6.2,1.665307718597909,1.3862943611198906,305,19.2,377.17,,3.152736022363656
-2.538813883856911,0.0,12.83,0.437,6.273,,1.4472718618437102,1.6094379124341003,398,18.7,394.92,6.78,3.1822118404966093
-2.3526160265996108,0.0,12.83,0.437,6.286,45.0,1.5046550077047365,1.6094379124341003,398,18.7,383.23,8.94,3.0633909220278057
-2.2874009576690058,0.0,12.83,0.437,6.279,74.5,1.3992599435099138,1.6094379124341003,398,18.7,373.66,11.97,2.995732273553991
-2.441042886141613,0.0,12.83,0.437,6.14,45.8,1.4086672119716157,1.6094379124341003,398,18.7,386.96,10.27,3.0349529867072724
-2.8742228561567935,0.0,12.83,0.437,6.232,53.7,1.6122539436935819,1.6094379124341003,398,18.7,386.4,12.34,3.054001181677967
-2.478487297985817,0.0,12.83,0.437,5.874,36.6,1.5046550077047365,1.6094379124341003,398,18.7,396.06,,3.0106208860477417
-3.1910174967398044,3.258096538021482,4.86,0.426,6.727,33.5,1.6865285747986638,1.3862943611198906,281,19.0,396.9,5.29,3.332204510175204
-3.1095730899777507,3.258096538021482,4.86,0.426,6.619,70.4,1.6865285747986638,1.3862943611198906,281,19.0,395.63,7.22,3.173878458937465
-3.3079802999510215,3.258096538021482,4.86,0.426,6.302,32.2,1.6865285747986638,1.3862943611198906,281,19.0,396.9,6.72,3.2108436531709366
-3.3379409320271405,3.258096538021482,4.86,0.426,6.167,46.7,1.6865285747986638,1.3862943611198906,281,19.0,390.64,7.51,3.131136910560194
-2.9840013506782923,0.0,4.49,0.449,6.389,48.0,1.5643150156121397,1.0986122886681098,247,18.5,396.9,9.62,3.173878458937465
-2.8585824354067575,0.0,4.49,0.449,6.63,56.1,1.4901362242084286,1.0986122886681098,247,18.5,392.3,6.53,3.2809112157876537
-2.958821919533894,0.0,4.49,0.449,6.015,45.1,1.4877673300505243,1.0986122886681098,247,18.5,395.99,12.86,3.1135153092103742
-2.6379179789218323,0.0,4.49,0.449,6.121,56.8,1.321115635094896,1.0986122886681098,247,18.5,395.15,,3.100092288878234
-2.871746293773,0.0,3.41,0.489,7.007,86.3,1.2301375035965438,0.6931471805599453,270,17.8,396.9,5.5,3.1612467120315646
-2.9370860781212578,0.0,3.41,0.489,7.079,63.1,1.2280310694190069,0.6931471805599453,270,17.8,396.06,5.7,3.3568971227655755
-3.0610177402526206,0.0,3.41,0.489,6.417,66.1,1.1289151505981556,0.6931471805599453,270,17.8,392.18,8.81,3.1179499062782403
-3.2360219837031714,0.0,3.41,0.489,6.405,73.9,1.1288504717287196,0.6931471805599453,270,17.8,393.55,8.2,3.091042453358316
-3.1693716299651116,,15.04,0.464,6.442,53.6,1.2990738713586183,1.3862943611198906,270,18.2,395.01,8.16,3.131136910560194
-3.5491175117387774,3.367295829986474,15.04,0.464,6.211,28.9,1.2990738713586183,1.3862943611198906,270,18.2,396.33,6.21,3.2188758248682006
-3.147951486531502,3.367295829986474,15.04,0.464,6.249,77.3,1.285091855610728,1.3862943611198906,270,18.2,396.9,10.59,3.0252910757955354
-2.1034064191336683,0.0,2.89,0.445,6.625,57.8,1.251390598655089,0.6931471805599453,276,18.0,357.98,6.65,3.3463891451671604
-2.1624753850094005,0.0,2.89,0.445,6.163,69.6,1.251390598655089,0.6931471805599453,276,18.0,391.83,11.34,3.0633909220278057
-2.1133706799429204,0.0,2.89,0.445,8.069,76.0,1.251390598655089,0.6931471805599453,276,18.0,396.9,4.21,3.655839600035736
-2.5026226555937803,0.0,2.89,0.445,7.82,36.9,1.251390598655089,0.6931471805599453,276,18.0,393.53,3.57,3.7796338173824005
-2.6794627442502974,0.0,2.89,0.445,7.416,62.5,1.251390598655089,0.6931471805599453,276,18.0,396.9,6.19,3.502549875922443
-1.9060934596849897,0.0,8.56,0.52,6.727,79.9,1.0216592474999815,1.6094379124341003,384,20.9,394.76,9.42,3.3141860046725258
-2.168753745360525,0.0,8.56,0.52,6.781,71.3,1.0494570578699642,1.6094379124341003,384,20.9,395.58,7.67,3.2771447329921766
-1.4750818599350217,0.0,8.56,0.52,6.405,85.4,0.9986814500430602,1.6094379124341003,384,20.9,70.8,10.63,2.9231615807191558
-1.5530103211354571,0.0,8.56,0.52,6.137,,0.9986814500430602,1.6094379124341003,384,20.9,394.47,13.44,2.9601050959108397
-1.968974088653865,0.0,8.56,0.52,6.167,90.0,0.8841806779559214,1.6094379124341003,384,20.9,392.69,12.33,3.0007198150650303
-2.0202673830414155,0.0,8.56,0.52,5.851,96.7,0.7452176728509474,1.6094379124341003,384,20.9,394.05,16.47,2.970414465569701
-1.7649228152744953,0.0,8.56,0.52,5.836,91.9,0.7934449018753091,1.6094379124341003,384,20.9,395.67,18.66,2.970414465569701
-2.0312610871550825,0.0,8.56,0.52,6.127,85.2,0.7525475238413928,1.6094379124341003,384,20.9,387.69,14.09,3.0155349008501706
-2.0555687772682796,0.0,8.56,0.52,6.474,97.1,0.8890839614359387,1.6094379124341003,384,20.9,395.24,12.27,2.9856819377004897
-1.3332086740283013,0.0,8.56,0.52,6.229,91.2,0.9341699419613918,1.6094379124341003,384,20.9,391.23,15.55,2.9652730660692823
-2.2262724101448823,0.0,8.56,0.52,6.195,54.4,1.0216592474999815,1.6094379124341003,384,20.9,393.49,13.0,3.077312260546414
-2.294220176662418,0.0,10.01,0.547,6.715,81.6,0.9848835233397668,1.791759469228055,432,17.8,395.59,10.16,3.126760535960395
-2.0932159751016757,0.0,10.01,0.547,5.913,92.9,0.8558610910476916,1.791759469228055,432,17.8,394.95,16.21,2.9338568698359038
-1.5045375026087306,0.0,10.01,0.547,6.092,95.4,0.935308737709917,1.791759469228055,432,17.8,396.9,17.09,2.928523523860541
-1.9497475022865685,0.0,10.01,0.547,6.254,84.2,0.8138149402849189,1.791759469228055,432,17.8,388.74,10.45,2.917770732084279
,0.0,10.01,0.547,5.928,88.2,0.9014207192074265,1.791759469228055,432,17.8,344.91,15.76,2.9069010598473755
-2.028140247324285,0.0,10.01,0.547,6.176,72.5,1.0043382385626352,1.791759469228055,432,17.8,393.3,,3.054001181677967
-1.8906079012706583,0.0,10.01,0.547,6.021,82.6,1.0106550099089677,1.791759469228055,432,17.8,394.51,10.3,2.954910279033736
-2.0357692132236496,,10.01,0.547,5.872,73.1,0.907249987222006,1.791759469228055,432,17.8,338.63,15.37,3.0155349008501706
-1.9326780802865953,0.0,10.01,0.547,5.731,65.2,1.0149407826404941,1.791759469228055,432,17.8,391.5,13.61,2.9601050959108397
-2.67379371242412,0.0,25.65,0.581,5.87,69.7,0.8143465959617898,0.6931471805599453,188,19.1,389.15,14.37,3.091042453358316
-2.635962124707956,0.0,25.65,0.581,6.004,84.1,0.7872748432846436,0.6931471805599453,188,19.1,377.67,14.27,3.0106208860477417
-2.3752633184920313,0.0,25.65,0.581,5.961,92.9,0.7356797112786478,0.6931471805599453,188,19.1,378.09,17.93,3.0204248861443626
-1.8945898550322562,0.0,,0.581,5.856,97.0,0.6649534461891633,0.6931471805599453,188,19.1,370.31,25.41,2.8507065015037334
-2.317800258800526,0.0,25.65,0.581,5.879,95.8,0.6962922297040182,0.6931471805599453,188,19.1,379.38,17.58,2.9338568698359038
